Designator,Footprint,Quantity,Value,LCSC Part #;;;
C1,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,47 uF,;;Electrokit;
C11, C12, C13, C14, C15, C16, C2, C3, C5, C7,1206,10,100 nF,;;Mouser;
C4,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,10 uF,;;Electrokit;
D1, D2,1206,2,LED,;;Elektrokit;
J1,PinHeader_2x02_P2.54mm_Horizontal,1,POWER IN,;;Mouser;90122-0761
J2,PinHeader_2x04_P2.54mm_Horizontal,1,CONTROLLER IN/OUT,;;Mouser;10-88-3041
J3,PinHeader_2x04_P2.54mm_Vertical,1,PROGRAMMER,;;Mouser;10-89-7080
J4,PinHeader_2x03_P2.54mm_Vertical,1,SUPPLY SELECTOR,;;;
J5,PinHeader_2x03_P2.54mm_Horizontal,1,FAN I/O,;;;
R10, R12,1206,2,22k,;;Electrokit;
R11, R13,1206,2,7.5k,;;Mouser;
R14, R15,1206,2,10k,;;Electrokit;
R3, R4,1206,2,4.7k,;;Electrokit;
R5, R6,1206,2,220 R,;;Electrokit;
R7,1206,1,0R006,;;Electrokit;
R8,1206,1,30k,;;Elektrokit 33k;
R9,1206,1,100R,;;Elektrokit;
SW1,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,RST_BUTTON,;;Mouser;
U1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8871DDA,;;Mouser;
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,INA240A3D,;;Mouser;
U4,LQFP-32_7x7mm_P0.8mm,1,STM32L051K8Tx,;;Mouser;
Y2,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm_HandSoldering,1,CM8V-T1A-32.768KHZ,;;Mouser;
