Designator,Mid X,Mid Y,Rotation,Layer
C1,61.5,-35.5,270.0,top
C11,28.75,-20.9375,90.0,bottom
C12,55.25,-25.5,180.0,bottom
C13,40.0,-19.0,90.0,top
C14,51.0,-36.75,270.0,bottom
C15,49.1375,-30.55,180.0,bottom
C16,49.0625,-27.0,180.0,bottom
C2,64.5,-35.5,270.0,bottom
C3,58.5,-35.5,270.0,bottom
C4,31.25,-20.9375,90.0,top
C5,50.365,-19.975,0.0,bottom
C7,33.75,-20.9375,90.0,bottom
D1,57.5,-42.0,90.0,top
D2,61.0,-42.0,90.0,top
J1,22.52,-19.27,180.0,top
J2,41.27,-39.23,270.0,top
J3,20.755,-37.74,180.0,top
J4,29.995,-38.765,0.0,top
J5,60.37,-20.5,0.0,top
R10,43.0,-18.95,270.0,bottom
R11,46.0,-19.3,90.0,bottom
R12,40.0,-19.0,270.0,bottom
R13,37.0,-19.25,90.0,bottom
R14,48.5,-36.75,270.0,bottom
R15,41.05,-34.25,0.0,bottom
R3,31.25,-32.25,0.0,bottom
R4,31.25,-29.75,0.0,bottom
R5,54.0,-42.0,90.0,bottom
R6,64.5,-42.05,90.0,bottom
R7,55.25,-20.55,90.0,top
R8,55.5,-35.5,270.0,bottom
R9,43.0,-19.0,270.0,top
SW1,48.0,-33.75,0.0,top
U1,60.2,-29.25,0.0,top
U3,50.795,-20.575,180.0,top
U4,40.75,-27.25,90.0,top
Y2,49.25,-28.8,270.0,top
